"동별(1)",동별(2),동별(3),2019,2019,2019,2020,2020,2020
"동별(1)",동별(2),동별(3),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢)
"합계",소계,소계,10010983,605.24,16541,9911088,605.23,16376
"합계",종로구,소계,161869,23.91,6769,158996,23.91,6649
"합계",종로구,사직동,9815,1.23,7980,9806,1.23,7972
"합계",종로구,삼청동,2997,1.49,2011,2909,1.49,1952
"합계",종로구,부암동,10551,2.27,4648,10333,2.27,4552
"합계",종로구,평창동,18816,8.87,2121,18582,8.87,2095
"합계",종로구,무악동,8740,0.36,24278,8592,0.36,23867
"합계",종로구,교남동,10708,0.35,30594,10634,0.35,30383
"합계",종로구,가회동,4488,0.54,8311,4418,0.54,8181
"합계",종로구,종로1.2.3.4가동,8446,2.35,3594,8448,2.35,3595
"합계",종로구,종로5.6가동,5839,0.60,9732,5656,0.60,9427
"합계",종로구,이화동,8470,0.78,10859,8111,0.78,10399
"합계",종로구,창신1동,6079,0.31,19610,5964,0.31,19239
"합계",종로구,창신2동,9799,0.26,37688,9503,0.26,36550
"합계",종로구,창신3동,7271,0.23,31613,7107,0.23,30900
"합계",종로구,숭인1동,6532,0.23,28400,6388,0.23,27774
"합계",종로구,숭인2동,9902,0.35,28291,10178,0.35,29080
"합계",종로구,청운효자동,12981,2.57,5051,12633,2.57,4916
"합계",종로구,혜화동,20435,1.12,18246,19734,1.12,17620
"합계",중구,소계,136488,9.96,13704,134635,9.96,13517
"합계",중구,소공동,3059,0.95,3220,3011,0.95,3169
"합계",중구,회현동,5850,0.84,6964,5757,0.84,6854
"합계",중구,명동,3567,0.99,3603,3685,0.99,3722
"합계",중구,필동,5020,1.14,4404,4754,1.14,4170
"합계",중구,장충동,5628,1.36,4138,5468,1.36,4021
"합계",중구,광희동,6284,0.74,8492,6416,0.74,8670
"합계",중구,을지로동,2007,0.60,3345,1967,0.60,3278
"합계",중구,신당5동,10929,0.39,28023,10867,0.39,27864
"합계",중구,황학동,13689,0.33,41482,13531,0.33,41003
"합계",중구,중림동,12942,0.48,26963,12801,0.48,26669
"합계",중구,신당동,9234,0.55,16789,9191,0.55,16711
"합계",중구,다산동,15035,0.51,29480,14725,0.51,28873
"합계",중구,약수동,17734,0.48,36946,17354,0.48,36154
"합계",중구,청구동,14515,0.34,42691,14281,0.34,42003
"합계",중구,동화동,10995,0.26,42288,10827,0.26,41642
"합계",용산구,소계,245185,21.87,11213,244645,21.87,11188
"합계",용산구,후암동,18445,0.86,21448,18202,0.86,21165
"합계",용산구,용산2가동,11836,1.96,6039,11272,1.96,5751
"합계",용산구,남영동,8412,1.19,7069,8116,1.19,6820
"합계",용산구,원효로2동,14718,0.71,20730,14331,0.71,20185
"합계",용산구,효창동,10300,0.44,23409,10326,0.44,23468
"합계",용산구,용문동,12587,0.28,44954,12455,0.28,44482
"합계",용산구,이촌1동,29255,2.86,10229,28961,2.86,10126
"합계",용산구,이촌2동,9005,1.22,7381,8808,1.22,7220
"합계",용산구,이태원1동,9222,0.57,16179,8764,0.57,15375
"합계",용산구,이태원2동,10811,0.86,12571,10795,0.86,12552
"합계",용산구,서빙고동,14102,2.80,5036,14000,2.80,5000
"합계",용산구,보광동,15862,0.71,22341,15531,0.71,21875
"합계",용산구,청파동,20661,0.91,22704,20496,0.91,22523
"합계",용산구,원효로1동,16630,0.59,28186,16730,0.59,28356
"합계",용산구,한강로동,19635,2.90,6771,22097,2.90,7620
"합계",용산구,한남동,23704,3.01,7875,23761,3.01,7894
"합계",성동구,소계,308979,16.86,18327,300505,16.86,17822
"합계",성동구,왕십리2동,17744,0.41,43278,17416,0.41,42478
"합계",성동구,마장동,24035,1.05,22890,23459,1.05,22342
"합계",성동구,사근동,13543,1.10,12312,13512,1.10,12284
"합계",성동구,행당1동,16463,0.59,27903,14363,0.59,24344
"합계",성동구,행당2동,24640,0.42,58667,24151,0.42,57502
"합계",성동구,응봉동,16188,0.57,28400,15824,0.57,27761
"합계",성동구,금호1가동,15954,0.46,34683,15795,0.46,34337
"합계",성동구,금호4가동,15227,0.84,18127,14842,0.84,17669
"합계",성동구,성수1가1동,17168,1.98,8671,16851,1.97,8554
"합계",성동구,성수1가2동,14735,0.89,16556,13738,0.89,15436
"합계",성동구,성수2가1동,17722,1.18,15019,17146,1.17,14655
"합계",성동구,성수2가3동,11682,1.03,11342,11457,1.03,11123
"합계",성동구,송정동,11428,0.75,15237,11143,0.75,14857
"합계",성동구,용답동,13290,2.32,5728,12724,2.31,5508
"합계",성동구,왕십리도선동,27767,0.72,38565,27588,0.72,38317
"합계",성동구,금호2.3가동,24171,0.64,37767,23584,0.64,36850
"합계",성동구,옥수동,27222,1.95,13960,26912,1.94,13872
"합계",광진구,소계,366972,17.06,21507,360109,17.06,21105
"합계",광진구,화양동,25537,1.16,22015,25541,1.16,22018
"합계",광진구,군자동,22109,0.74,29877,21903,0.74,29599
"합계",광진구,중곡1동,16287,0.62,26269,16190,0.62,26113
"합계",광진구,중곡2동,22564,0.55,41025,22285,0.55,40518
"합계",광진구,중곡3동,17315,0.60,28858,16902,0.60,28170
"합계",광진구,중곡4동,30516,2.32,13153,29815,2.32,12851
"합계",광진구,능동,11978,1.10,10889,11913,1.10,10830
"합계",광진구,구의1동,23063,0.56,41184,22700,0.56,40536
"합계",광진구,구의2동,27902,1.39,20073,27444,1.39,19744
"합계",광진구,구의3동,30094,1.02,29504,29588,1.02,29008
"합계",광진구,광장동,36083,2.39,15097,35619,2.39,14903
