동명,공덕동,아현동,도화동,용강동,대흥동,염리동,신수동,서강동,서교동,합정동,망원1동,망원2동,연남동,성산1동,성산2동,상암동,데이터기준일자,
2019년(단위 : 톤),7388.0,3940.0,3580.0,3814.0,3229.0,2631.0,3481.0,4029.0,22257.0,5935.0,4990.0,4763.0,5652.0,5051.0,7042.0,6702.0,44848.0,
2020년(단위 : 톤),7821.0,4183.0,3915.0,3784.0,3439.0,2779.0,3591.0,3724.0,20248.0,6392.0,5271.0,5351.0,5751.0,5410.0,6856.0,7081.0,44848.0,
