,상권_코드,상권_코드_명,위도,경도,총_유동인구_수,당월_매출_금액
502,3110541,동교초등학교,37.55783805697095,126.9013889146536,1278236,5283879238
503,3110527,홍제역 2번,37.58905980090688,126.94704502804784,416890,1604525862
504,3110528,서울여자간호대학교,37.59568240216124,126.9477423876718,803725,2984047137
505,3110573,신촌역 6번,37.55324988350833,126.93806204247896,104853,149431765
506,3110549,새터산,37.56615108033534,126.90864472387648,902832,1503883428
507,3110550,합정역 8번,37.551249164529125,126.90938718433311,1300492,16443534121
508,3111079,둔촌고등학교(둔촌중학교),37.53076044252061,127.14483672836192,388699,1523428076
509,3111080,굽은다리역 3번,37.54799505551849,127.14605826969836,628614,2642301022
510,3111082,중앙보훈병원,37.53324379403351,127.14759082543831,139857,148310543
511,3111083,GS강동자이아파트,37.538289959838245,127.14713686672866,1156763,2950504670
512,3110593,신월3동주민센터,37.53348831317334,126.82679378474676,1035964,6035658148
513,3110594,신월중학교,37.54131913005202,126.82756773429242,341968,1523177288
514,3110595,메디힐병원,37.537799778862734,126.8300198040713,671746,8645985315
515,3110575,대흥동주민센터,37.55505349794558,126.94122938667752,891248,578416858
516,3110576,대흥역 3번,37.54624299959065,126.9438276551154,765756,11595939463
517,3110426,상계2동주민센터,37.65639990821616,127.06967307359568,1568061,1640253033
518,3110405,방학역 1번,37.66914421552273,127.0410198397298,1126057,14796776557
519,3110452,새절역 3번,37.590165495655896,126.91251034948718,691866,1616387939
520,3110557,홍대부속여중고앞,37.55822738671057,126.91545636804908,729341,5879438272
521,3110558,경성고등학교,37.564363450925,126.91584558806812,2916460,8660863066
522,3110559,성산중학교,37.5466328201031,126.91725739230134,937069,4590677951
523,3110413,누원고등학교,37.68360246074166,127.04759179455192,83620,944421302
524,3110444,수색성당,37.5785264427602,126.903240893861,195397,883082608
525,3110446,내를건너서숲으로도서관,37.59086414192362,126.90710860708316,116147,171817871
526,3110428,상계5동주민센터,37.66417450773257,127.07113106886152,3329240,7912434150
527,3110477,은평세무서,37.60271559223417,126.92453358673296,399059,3566456696
528,3110478,응암1동주민센터,37.5998058991835,126.92532920921036,322606,1766953256
529,3110453,신사1동주민센터,37.59576090018161,126.91284350185038,876766,4965472358
530,3110454,선정중학교,37.61729449862414,126.91277306605426,1323976,1648438330
531,3110511,연희초등학교,37.56577081062844,126.93270915833848,1081225,2631335353
532,3110512,연희지하차도,37.57734924969565,126.93386476704576,1146003,13733032
533,3110513,연희파출소,37.57120420223372,126.93339477301669,251708,1988314492
534,3110515,홍은중학교,37.59266626188652,126.93410032016293,260665,70408075
535,3110516,정원여중,37.58495426675125,126.93500154132752,65503,113239505
536,3110564,홍대입구역 3번,37.55992809983832,126.92561802009868,905382,8687629174
537,3110479,연신내역 2번,37.6221862780848,126.92503497111773,1236144,3790659549
538,3110529,홍제3동주민센터,37.59255612700315,126.94811823117304,1064911,3721656216
539,3110501,연희어린이공원,37.56752055318338,126.92108280715294,237907,305694240
540,3110502,남가좌파출소,37.57596396317863,126.92272668132662,1809996,12035663714
541,3110503,명지대학교교회,37.582658880625694,126.92354622796532,1678018,6414164083
542,3110482,연신초등학교,37.62562947077152,126.92730843440148,296516,1052108723
543,3110532,아현역 2번,37.55966460055765,126.95758023545092,1156187,5428197750
544,3110533,충정로역 7번,37.55946737153307,126.96043246893834,6406906,81196227
545,3110565,홍익대,37.552820653360776,126.9279111055061,428650,1510029132
546,3110419,수락산디자인거리,37.67642644747615,127.05710918618396,782551,12984442975
