번호,자치구명,관리번호,도로(가로)명,설치위치,           설치지점,     수거 쓰레기 종류,              형태,설치연도,데이터기준일자
33,양천구,17,목동서로340,양천문화회관앞 버스정류장,① 정류장(버스 택시 등),① 일반쓰레기 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
34,양천구,17,목동서로340,양천문화회관앞 버스정류장,① 정류장(버스 택시 등),② 재활용품 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
35,양천구,18,중앙로,목11단지 1117동 버스정류장,① 정류장(버스 택시 등),① 일반쓰레기 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
36,양천구,18,중앙로,목11단지 1117동 버스정류장,① 정류장(버스 택시 등),② 재활용품 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
37,양천구,19,목동동로100,양천구민체육센터 버스정류장앞,① 정류장(버스 택시 등),① 일반쓰레기 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
38,양천구,19,목동동로100,양천구민체육센터 버스정류장앞,① 정류장(버스 택시 등),② 재활용품 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
39,양천구,20,중앙로,신서중학교 버스정류장 앞,① 정류장(버스 택시 등),① 일반쓰레기 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
40,양천구,20,중앙로,신서중학교 버스정류장 앞,① 정류장(버스 택시 등),② 재활용품 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
41,양천구,21,신월로386,남부법원 버스정류장 앞,① 정류장(버스 택시 등),① 일반쓰레기 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
42,양천구,21,신월로386,남부법원 버스정류장 앞,① 정류장(버스 택시 등),② 재활용품 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
43,양천구,22,목동동로100,양천구청역 건너 버스정류장 앞,② 지하철역 입구,① 일반쓰레기 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
44,양천구,22,목동동로100,양천구청역 건너 버스정류장 앞,② 지하철역 입구,② 재활용품 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
45,양천구,23,신월로340,우리은행건너편 버스정류장 앞,① 정류장(버스 택시 등),① 일반쓰레기 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
46,양천구,23,신월로340,우리은행건너편 버스정류장 앞,① 정류장(버스 택시 등),② 재활용품 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
47,양천구,24,신정로13길20,한성교회 건너 마을버스정류장,① 정류장(버스 택시 등),① 일반쓰레기 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
48,양천구,24,신정로13길20,한성교회 건너 마을버스정류장,① 정류장(버스 택시 등),② 재활용품 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
49,양천구,25,중앙로228,해성산부인과 버스정류장 앞,① 정류장(버스 택시 등),① 일반쓰레기 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
