연번,자치구명,관리번호,도로(가로)명,설치위치,설치지점,수거쓰레기종류,형태,설치연도
88,영등포구,영등포-2022-14,신길로 190 ,우신초등학교(19238),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2022년
89,영등포구,영등포-2022-15,대림로 195,대림3동주민센터(19458),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2022년
90,영등포구,영등포-2022-15,대림로 195,대림3동주민센터(19458),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2022년
91,영등포구,영등포-2022-16,도림천로 351,"대림역(19502)5,6번출구 사이","정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2022년
92,영등포구,영등포-2022-16,도림천로 351,"대림역(19502)5,6번출구 사이","정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2022년
93,영등포구,영등포-2022-17,여의대방로 383,KBS별관(19150),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2022년
94,영등포구,영등포-2022-17,여의대방로 383,KBS별관(19150),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2022년
95,영등포구,영등포-2021-02,여의동로3길10,샛강역4번출구.여의도자이(19154)공군호텔방면,"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2023년
96,영등포구,영등포-2021-02,여의동로3길10,샛강역4번출구.여의도자이(19154)공군호텔방면,"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2023년
97,영등포구,영등포-2022-19,양평로 58,당산역(19172),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2022년
98,영등포구,영등포-2022-19,양평로 58,당산역(19172),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2022년
99,영등포구,-,63로 45,시범아파트앞 교차로 성요셉유치원 방면,도로변(횡단보도 포함),재활용쓰레기,일반 사각 쓰레기통,2018년 이전
100,영등포구,영등포-2023-02,당산로 122,영등포구청(19729)당산삼성아파트방면,"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2024년
101,영등포구,영등포-2023-02,당산로 122,영등포구청(19729)당산삼성아파트방면,"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2024년
102,영등포구,영등포-2022-22,선유로 227,선유고등학교 (19752),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2022년
103,영등포구,영등포-2022-22,선유로 227,선유고등학교 (19752),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2022년
104,영등포구,영등포-2021-04,의사당대로 141,샛강역1번출구.여의도자이(19153)여의도역방면,"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2023년
105,영등포구,영등포-2021-04,의사당대로 141,샛강역1번출구.여의도자이(19153)여의도역방면,"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2023년
106,영등포구,영등포-2022-24,당산동2가 24,교보앞(19166),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2022년
107,영등포구,영등포-2022-24,당산동2가 24,교보앞(19166),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2022년
108,영등포구,영등포-2021-07,신길동41-1,신길역1호선(19225)영등포로터리방면,"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2023년
109,영등포구,영등포-2021-07,신길동41-1,신길역1호선(19225)영등포로터리방면,"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2023년
110,영등포구,-,당산로 231,당산역 1번 출구 옆,지하철역 입구,일반쓰레기,일반 사각 쓰레기통,2018년 이전
111,영등포구,-,당산로 231,당산역 1번 출구 옆,지하철역 입구,재활용쓰레기,항아리형 쓰레기통,2018년 이전
112,영등포구,-,63로 45,63로 시범A 3동 앞 가로변(우리은행 맞은편),도로변(횡단보도 포함),재활용쓰레기,일반 사각 쓰레기통,2018년 이전
113,영등포구,-,양평로 36,당산역 7번 출구 뒤,지하철역 입구,재활용쓰레기,항아리형 쓰레기통,2018년 이전
114,영등포구,영등포-2022-07,여의대방로 131,보라매역.동작세무서(중)(19013)보라매공원방면,"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2023년
115,영등포구,영등포-2022-07,여의대방로 131,보라매역.동작세무서(중)(19013)보라매공원방면,"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2023년
116,영등포구,-,여의도동 2-11,여의도 환승센터(환) 1번 승강장,"정류소(버스,택시 등)",일반쓰레기,항아리형 쓰레기통,2018년 이전
117,영등포구,-,여의도동 2-11,여의도 환승센터(환) 1번 승강장,"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2024년
118,영등포구,-,여의도동 2-11,여의도 환승센터(환) 2번 승강장,"정류소(버스,택시 등)",일반쓰레기,항아리형 쓰레기통,2018년 이전
119,영등포구,-,여의도동 2-11,여의도 환승센터(환) 2번 승강장,"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2024년
120,영등포구,-,여의도동 2-11,여의도 환승센터(환) 3번 승강장,"정류소(버스,택시 등)",일반쓰레기,항아리형 쓰레기통,2018년 이전
121,영등포구,-,여의도동 2-11,여의도 환승센터(환) 3번 승강장,"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2024년
122,영등포구,-,여의도동 2-11,여의도 환승센터(환) 4번 승강장,"정류소(버스,택시 등)",일반쓰레기,항아리형 쓰레기통,2018년 이전
123,영등포구,-,여의도동 2-11,여의도 환승센터(환) 4번 승강장,"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2024년
124,영등포구,영등포-2024-01,신길동 355-672,성락교회(19234),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2024년
125,영등포구,영등포-2024-01,신길동 355-672,성락교회(19234),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2024년
