,정류장번호,경도,위도,정류장명,행정동
333,16467,126.8584806,37.53779304,한광고,화곡4동
334,16468,126.8575412,37.53728369,신정여상,화곡4동
335,16469,126.8563782,37.53654698,명지해드는터아파트,화곡4동
336,16470,126.8558383,37.53644537,대성마트,화곡4동
337,16471,126.8549372,37.53741388,미주아파트,화곡4동
338,16472,126.8540903,37.53708664,방송인아파트,화곡4동
339,16473,126.858041,37.53151997,곰달래약국,화곡4동
340,16474,126.8581895,37.53076413,원비디오,화곡4동
341,16475,126.8565275,37.52951501,곰달래아파트,화곡2동
342,16476,126.8541282,37.52921921,삼성아파트,화곡2동
343,16477,126.8518828,37.52893527,은창아파트,화곡2동
344,16478,126.8478042,37.52939505,화곡전화국,화곡1동
345,16479,126.8459873,37.53257267,까치산역,화곡1동
346,16480,126.846278,37.53374267,까치시장,화곡8동
347,16481,126.8466849,37.53613111,까치약국,화곡8동
348,16482,126.8479875,37.53660497,개나리슈퍼,화곡8동
349,16483,126.8491907,37.53703273,빨래세탁소,화곡8동
350,16484,126.8545226,37.53647623,공작세탁소,화곡4동
351,16485,126.8551212,37.53590026,대성정육점,화곡4동
352,16486,126.8559979,37.53484255,대통마트,화곡2동
353,16487,126.857847,37.53175403,국민약국,화곡2동
354,16488,126.8549832,37.53582981,대성정육점,화곡2동
355,16489,126.8516393,37.53877765,약수터,화곡8동
363,16497,126.8517273,37.53664757,봉제산정상,화곡8동
365,16499,126.8400698,37.55942198,NC백화점앞,등촌3동
367,16501,126.8563185,37.53669741,명지해드는터아파트,화곡4동
374,16508,126.8429615,37.55909511,등명중학교,등촌3동
376,16510,126.8551022,37.53750509,미주아파트,화곡4동
379,16513,126.8458654,37.55882591,등촌3동성당사거리,등촌3동
381,16515,126.8540245,37.53715955,방송인아파트,화곡4동
384,16518,126.8476783,37.55956986,등촌6단지,등촌3동
386,16520,126.8544107,37.53642473,공작세탁소,화곡2동
389,16523,126.8487623,37.56140678,등촌9단지,등촌3동
391,16525,126.8558936,37.53496227,대통마트,화곡2동
395,16529,126.8576985,37.53251978,남부시장,화곡2동
396,16530,126.8474755,37.54577025,태원빌딩,화곡본동
399,16533,126.8461489,37.54425919,국민은행,화곡본동
401,16535,126.8528365,37.56126595,등촌7단지아파트,등촌3동
403,16537,126.8580424,37.53074774,원비디오,화곡2동
404,16538,126.84422,37.54283113,본동시장,화곡본동
408,16542,126.8572149,37.52979428,곰달래아파트,화곡2동
409,16543,126.8479741,37.5426468,본동사무소,화곡본동
410,16544,126.8422124,37.54124705,볏골어린이공원,화곡본동
413,16547,126.8542115,37.52943377,삼성아파트,화곡2동
414,16548,126.8490739,37.54217874,거성빌라,화곡본동
419,16553,126.8518067,37.5291208,은창아파트,화곡2동
420,16554,126.8502913,37.54177299,강서구립봉제산어르신복지센터,화곡본동
421,16555,126.8427421,37.54281926,화곡본동시장,화곡본동
424,16558,126.8571485,37.55862474,등촌강변샤르망오피스텔,등촌1동
426,16560,126.8510552,37.5405746,대영마트,화곡본동
427,16561,126.8459194,37.54411202,우체국,화곡본동
430,16564,126.8550856,37.55661729,등촌현대아파트,등촌1동
431,16565,126.8463346,37.53260556,까치산역,화곡8동
432,16566,126.8514174,37.54000556,본동슈퍼,화곡본동
433,16567,126.8465565,37.54358481,화곡초교,화곡본동
436,16570,126.8540033,37.55556979,하이웨이주유소,등촌1동
437,16571,126.8460804,37.53354057,까치시장,화곡8동
438,16572,126.8515081,37.53877208,약수터,화곡8동
441,16575,126.8534899,37.55765699,경복비즈니스고등학교,등촌1동
442,16576,126.8477613,37.53434202,제일은행,화곡8동
445,16579,126.8468187,37.53599341,까치약국,화곡8동
446,16580,126.850105,37.53754473,삼거리,화곡8동
448,16582,126.8564121,37.56019896,가양역.현대프린스텔,등촌1동
449,16583,126.8480296,37.53652032,개나리슈퍼,화곡8동
450,16584,126.851594,37.53654107,봉제산정상,화곡8동
453,16587,126.8619221,37.55723102,이마트.증미역,등촌1동
454,16588,126.8492383,37.5369625,빨래터세탁소,화곡8동
455,16589,126.8512591,37.53593151,안골공원,화곡8동
459,16593,126.8502334,37.53733682,삼거리,화곡8동
460,16594,126.8510241,37.53519411,강남슈퍼,화곡8동
462,16596,126.8653894,37.55514359,태영.삼성한사랑아파트,등촌1동
463,16597,126.8508561,37.53757663,태창아파트,화곡8동
464,16598,126.851208,37.53259739,신정초교,화곡8동
465,16599,126.8515067,37.5400282,본동슈퍼,화곡본동
466,16600,126.8394784,37.56288763,꽃단지,등촌3동
502,16637,126.8514108,37.53816822,약수터,화곡8동
504,16639,126.8387732,37.54132981,화곡역,화곡3동
508,16668,126.8526925,37.53089257,서울신정초등학교,화곡2동
509,16677,126.8511435,37.54059814,대영마트,화곡본동
518,16707,126.8377759,37.53470178,화곡중앙골목시장,화곡1동
522,16722,126.8562524,37.53135742,LG주유소,화곡2동
525,16727,126.850392,37.54177762,강서구립봉제산어르신복지센터,화곡본동
529,16732,126.8501047,37.53717987,삼거리,화곡8동
530,16734,126.8578071,37.53253613,남부시장,화곡4동
532,16778,126.8490228,37.54226788,거성빌라,화곡본동
536,16813,126.8634709,37.55640021,증미역,등촌1동
537,16814,126.8517784,37.5365395,봉제산정상,화곡2동
538,16815,126.8394989,37.55858765,발산전철역,등촌3동
541,16818,126.8574555,37.53357287,대성학원,화곡2동
546,16836,126.8530366,37.53603466,로미오이발클럽,화곡2동
551,16844,126.8636807,37.53067508,목동사거리,화곡4동
559,16858,126.8561245,37.53488686,대통마트,화곡4동
560,16859,126.8467696,37.54342829,화곡초교,화곡본동
563,16863,126.8536876,37.53527043,태양마트,화곡2동
564,16864,126.8550235,37.53433945,훼미리마트,화곡2동
567,16869,126.8539817,37.53357223,성심사,화곡2동
568,16870,126.8539521,37.53364879,성심사,화곡2동
571,16875,126.85507,37.53426471,훼미리마트,화곡2동
572,16876,126.8538522,37.53443442,현대빌라,화곡2동
573,16878,126.8386545,37.54127017,화곡역,화곡3동
576,16882,126.8538032,37.53517055,태양마트,화곡2동
579,16887,126.8583825,37.53639532,방글방글슈퍼,화곡4동
580,16888,126.8530998,37.53609871,로미오이발클럽,화곡2동
581,16890,126.8311221,37.54185797,푸르지오APT,화곡3동
583,16892,126.8592863,37.53716954,경북하이마트,화곡4동
585,16894,126.8462282,37.54418721,국민은행,화곡본동
587,16896,126.8585947,37.53785535,한광고,화곡4동
588,16897,126.8475402,37.54566491,태원빌딩,화곡본동
590,16899,126.8575206,37.5373927,신정여상,화곡4동
591,16900,126.849183,37.54758725,SK브로드밴드강서방송,화곡본동
592,16901,126.8352735,37.54007155,훼미리마트,화곡1동
604,16914,126.8479819,37.5427234,본동사무소,화곡본동
611,16921,126.8632088,37.55206812,등촌역1번출구,등촌1동
612,16922,126.8386305,37.55924607,발산역,등촌3동
614,16924,126.8398259,37.56287279,호서전문학교,등촌3동
616,16926,126.8403195,37.56444316,전화국,등촌3동
618,16928,126.8409088,37.56626506,기업은행,등촌3동
633,16943,126.8353186,37.54787149,송화시장,화곡3동
653,16963,126.852979,37.56133281,등촌7단지,등촌3동
654,16964,126.8486444,37.56153368,등촌10단지,등촌3동
655,16965,126.8477466,37.55990696,등촌미주.진로아파트,등촌3동
656,16966,126.8456364,37.55896348,등촌3동성당사거리,등촌3동
657,16967,126.8439156,37.55914234,등촌5단지,등촌3동
658,16968,126.8417736,37.55935034,공원앞,등촌3동
659,16969,126.8390115,37.55970501,발산역.NC백화점,등촌3동
660,16970,126.8560381,37.53665141,대성마트,화곡4동
661,16971,126.8508668,37.53794883,태창아파트,화곡8동
667,16977,126.849752,37.56291828,등촌동주공9단지,등촌3동
668,16978,126.8498917,37.56268147,등촌주공9단지,등촌3동
669,16979,126.8513905,37.56210126,등촌동주공8단지,등촌3동
676,16986,126.8521,37.56162367,등촌주공8단지,등촌3동
683,16994,126.8570263,37.53551602,강원슈퍼,화곡4동
