정류장번호,경도,위도,정류장명,행정동
16554,126.8502913,37.54177299,강서구립봉제산어르신복지센터,화곡동
16555,126.8427421,37.54281926,화곡본동시장,화곡동
16557,126.8496142,37.55320432,강서구청입구,화곡동
16558,126.8571485,37.55862474,등촌강변샤르망오피스텔,등촌동
16560,126.8510552,37.5405746,대영마트,화곡동
16561,126.8459194,37.54411202,우체국,화곡동
16563,126.8477997,37.5532921,우장산꿈에그린아파트,화곡동
16564,126.8550856,37.55661729,등촌현대아파트,등촌동
16565,126.8463346,37.53260556,까치산역,화곡동
16566,126.8514174,37.54000556,본동슈퍼,화곡동
16567,126.8465565,37.54358481,화곡초교,화곡동
16569,126.8465771,37.55287241,롯데3차APT,화곡동
16570,126.8540033,37.55556979,하이웨이주유소,등촌동
16571,126.8460804,37.53354057,까치시장,화곡동
16572,126.8515081,37.53877208,약수터,화곡동
16575,126.8534899,37.55765699,경복비즈니스고등학교,등촌동
16576,126.8477613,37.53434202,제일은행,화곡동
16579,126.8468187,37.53599341,까치약국,화곡동
16580,126.850105,37.53754473,삼거리,화곡동
16582,126.8564121,37.56019896,가양역.현대프린스텔,등촌동
16583,126.8480296,37.53652032,개나리슈퍼,화곡동
16584,126.851594,37.53654107,봉제산정상,화곡동
16587,126.8619221,37.55723102,이마트.증미역,등촌동
16588,126.8492383,37.5369625,빨래터세탁소,화곡동
16589,126.8512591,37.53593151,안골공원,화곡동
16590,126.8406976,37.5667781,양천향교역,등촌동
16592,126.8139764,37.57328917,방화동동부센트레빌아파트,방화동
16593,126.8502334,37.53733682,삼거리,화곡동
16594,126.8510241,37.53519411,강남슈퍼,화곡동
16595,126.8179219,37.57283309,프라임마트,방화동
16596,126.8653894,37.55514359,태영.삼성한사랑아파트,등촌동
16597,126.8508561,37.53757663,태창아파트,화곡동
16598,126.851208,37.53259739,신정초교,화곡동
16599,126.8515067,37.5400282,본동슈퍼,화곡동
16600,126.8394784,37.56288763,꽃단지,등촌동
16601,126.8224833,37.57027051,마곡한솔솔파크,방화동
16602,126.8556444,37.56091078,가양역,가양동
16603,126.8224297,37.56873131,길훈아파트,방화동
16605,126.8033334,37.55954037,김포공항국내선,공항동
16614,126.8037173,37.55948604,김포공항국내선,공항동
16620,126.8091822,37.56167835,송정역(가상),공항동
16629,126.8227,37.5688329,길훈아파트,방화동
16631,126.8183981,37.57297988,프라임마트,방화동
16632,126.8137233,37.57359893,방화동동부센트레빌아파트,방화동
16633,126.8120174,37.57363295,방신시장,방화동
16634,126.8117384,37.57460232,한서고등학교.보람아파트,방화동
16636,126.8717736,37.55464157,동아1.2차아파트,염창동
16637,126.8514108,37.53816822,약수터,화곡동
16638,126.8720632,37.55465858,동아1.2차아파트,염창동
16639,126.8387732,37.54132981,화곡역,화곡동
16640,126.8206648,37.57201904,마곡우림필유아파트,방화동
16641,126.8202678,37.5720488,마곡우림필유아파트,방화동
16668,126.8526925,37.53089257,서울신정초등학교,화곡동
16677,126.8511435,37.54059814,대영마트,화곡동
16704,126.816377,37.56661,신방화역7번출구,방화동
16706,126.816778,37.566192,마곡엠밸리5단지,방화동
16707,126.8377759,37.53470178,화곡중앙골목시장,화곡동
16720,126.8114083,37.56141881,송정역,공항동
16721,126.8698053,37.55611181,삼천리아파트,염창동
16722,126.8562524,37.53135742,LG주유소,화곡동
16727,126.850392,37.54177762,강서구립봉제산어르신복지센터,화곡동
16730,126.8636221,37.55664278,증미역,염창동
16732,126.8501047,37.53717987,삼거리,화곡동
16734,126.8578071,37.53253613,남부시장,화곡동
16745,126.8093371,37.56131906,송정역,공항동
16778,126.8490228,37.54226788,거성빌라,화곡동
16781,126.8030851,37.55970576,김포공항국내선,공항동
16813,126.8634709,37.55640021,증미역,등촌동
16814,126.8517784,37.5365395,봉제산정상,화곡동
16815,126.8394989,37.55858765,발산전철역,등촌동
16816,126.810225,37.5615764,송정전철역,공항동
16817,126.803681,37.55950851,김포공항국내선,공항동
16818,126.8574555,37.53357287,대성학원,화곡동
16819,126.8113061,37.56106271,송정전철역,공항동
16829,126.8044803,37.5585727,김포공항국내선,공항동
16832,126.8224706,37.5714642,방화삼성아파트,방화동
16836,126.8530366,37.53603466,로미오이발클럽,화곡동
16838,126.8160003,37.58358116,방화대교남단(가상),방화동
16841,126.8621435,37.54518365,강서구의회,등촌동
16843,126.8634754,37.53900909,대일고등학교,등촌동
16844,126.8636807,37.53067508,목동사거리,화곡동
16848,126.8021757,37.56587131,김포공항국제선,방화동
16851,126.8760114,37.54718324,염창역2번출구,염창동
16855,126.8675138,37.55387545,태영송화아파트,염창동
16857,126.801935,37.56570601,김포공항국제선,방화동
16858,126.8561245,37.53488686,대통마트,화곡동
16859,126.8467696,37.54342829,화곡초교,화곡동
16862,126.8703511,37.55205208,관음삼성.보람더하임아파트,염창동
16863,126.8536876,37.53527043,태양마트,화곡동
16864,126.8550235,37.53433945,훼미리마트,화곡동
16868,126.8724183,37.55039001,새마을금고,염창동
16869,126.8539817,37.53357223,성심사,화곡동
16870,126.8539521,37.53364879,성심사,화곡동
16874,126.8764692,37.54887507,동아3차아파트,염창동
16875,126.85507,37.53426471,훼미리마트,화곡동
16876,126.8538522,37.53443442,현대빌라,화곡동
16878,126.8386545,37.54127017,화곡역,화곡동
16881,126.8668036,37.56055986,가양대교남단(가상),가양동
16882,126.8538032,37.53517055,태양마트,화곡동
16883,126.8671119,37.56094137,가양대교남단(가상),염창동
16887,126.8583825,37.53639532,방글방글슈퍼,화곡동
16888,126.8530998,37.53609871,로미오이발클럽,화곡동
16890,126.8311221,37.54185797,푸르지오APT,화곡동
16891,126.8710912,37.55143023,염동초교.염창보람더하임아파트,염창동
16892,126.8592863,37.53716954,경북하이마트,화곡동
16893,126.8712221,37.55167007,염동초교.염창보람더하임아파트,염창동
16894,126.8462282,37.54418721,국민은행,화곡동
16895,126.8782203,37.54870748,나이아가라.리버파크.골든서울호텔,염창동
16896,126.8585947,37.53785535,한광고,화곡동
16897,126.8475402,37.54566491,태원빌딩,화곡동
16899,126.8575206,37.5373927,신정여상,화곡동
16900,126.849183,37.54758725,SK브로드밴드강서방송,화곡동
16901,126.8352735,37.54007155,훼미리마트,화곡동
16902,126.8783455,37.54893379,나이아가라.리버파크.골든서울호텔,염창동
16903,126.8502247,37.54847525,골목시장,화곡동
16904,126.8397223,37.54253406,참병원,화곡동
16907,126.8513127,37.54940115,KC대학교,화곡동
16908,126.8527155,37.55113469,백연공원,화곡동
16909,126.8533162,37.55253987,하나마트,화곡동
16910,126.8502252,37.55045586,강서구청후문,화곡동
16911,126.8542067,37.55400284,화곡보람2차아파트,화곡동
16912,126.8507266,37.55157295,강서아파트,화곡동
16914,126.8479819,37.5427234,본동사무소,화곡동
16915,126.8514758,37.55277415,황제참치,화곡동
16918,126.8522417,37.55409071,콘티넨탈호텔,화곡동
16921,126.8632088,37.55206812,등촌역1번출구,등촌동
16922,126.8386305,37.55924607,발산역,등촌동
16924,126.8398259,37.56287279,호서전문학교,등촌동
16926,126.8403195,37.56444316,전화국,등촌동
16928,126.8409088,37.56626506,기업은행,등촌동
16930,126.8027332,37.55985521,김포공항국내선(11-2번홈),공항동
16932,126.8378903,37.57070784,변전소,가양동
16934,126.802614,37.56001617,김포공항국내선(11-3번홈),공항동
16936,126.8204379,37.58354775,방화대교(가상),방화동
16938,126.8217039,37.58424493,방화대교(가상),방화동
16943,126.8353186,37.54787149,송화시장,화곡동
16949,126.8205787,37.57393213,방화2단지,방화동
16951,126.8013317,37.56527679,김포공항국제선(1경기),방화동
16953,126.812642,37.57681861,방화역,방화동
16954,126.8442048,37.55288372,강서구민회관,화곡동
16955,126.8136548,37.57838631,방화3동주민센터,방화동
16956,126.8464574,37.5527407,롯데3차APT,화곡동
16957,126.8132285,37.57680692,방화동삼익아파트,방화동
16958,126.8478384,37.55318672,공영주차장,화곡동
16959,126.8066857,37.56386543,방화중학교(시외버스),방화동
16960,126.8499144,37.55307765,강서구청입구,화곡동
16961,126.8196509,37.57883265,서광아파트,방화동
16962,126.8185765,37.58348242,생태공원,방화동
16963,126.852979,37.56133281,등촌7단지,등촌동
16964,126.8486444,37.56153368,등촌10단지,등촌동
16965,126.8477466,37.55990696,등촌미주.진로아파트,등촌동
16966,126.8456364,37.55896348,등촌3동성당사거리,등촌동
16967,126.8439156,37.55914234,등촌5단지,등촌동
16968,126.8417736,37.55935034,공원앞,등촌동
16969,126.8390115,37.55970501,발산역.NC백화점,등촌동
16970,126.8560381,37.53665141,대성마트,화곡동
16971,126.8508668,37.53794883,태창아파트,화곡동
16977,126.849752,37.56291828,등촌동주공9단지,등촌동
16978,126.8498917,37.56268147,등촌주공9단지,등촌동
16979,126.8513905,37.56210126,등촌동주공8단지,등촌동
16982,126.8068747,37.55663659,김포세관,공항동
16983,126.8076814,37.55633063,국립항공박물관,공항동
16984,126.8135834,37.5511507,화물청사,공항동
