정류장번호,경도,위도,정류장명,행정동
16187,126.8478811,37.52995383,KT강서지사,화곡8동
16188,126.844302,37.530479,화곡동유림아파트,화곡1동
16189,126.8442552,37.53030144,화곡동유림아파트,화곡1동
16190,126.8378394,37.53096322,황외과앞,화곡1동
16191,126.8468456,37.53177067,까치산역2번출구,화곡8동
16192,126.8461928,37.53223863,까치산역4번출구,화곡1동
16193,126.8427421,37.53258371,화곡동백구사,화곡1동
16194,126.8407082,37.53233409,화곡동백구사,화곡1동
16195,126.838757,37.53309827,화곡대림아파트,화곡1동
16196,126.8383895,37.53404392,화곡동대림아파트.화곡중앙시장,화곡1동
16197,126.837192,37.5367735,가로공원.나누리병원,화곡1동
16198,126.8368737,37.53743987,가로공원.나누리병원,화곡1동
16199,126.8364507,37.53682654,가로공원.나누리병원,화곡1동
16200,126.8362927,37.53717865,가로공원.나누리병원,화곡1동
16202,126.840433,37.537977,화원중학교,화곡1동
16203,126.8389691,37.5386349,신월초등학교,화곡1동
16204,126.8394912,37.53896541,신월초등학교,화곡1동
16205,126.8409451,37.54064792,화곡역.현대주유소,화곡1동
16206,126.8411221,37.54095273,화곡역,화곡본동
16207,126.8396792,37.54259798,화곡역1번출구,우장산동
16208,126.8388886,37.54292941,화곡역,화곡3동
16209,126.8382264,37.54406298,대원시장,우장산동
16210,126.8373132,37.54452489,대원시장,화곡3동
16211,126.8361316,37.54717968,화곡중고등학교,화곡3동
16212,126.8364541,37.54719004,화곡중고등학교,우장산동
16213,126.8365028,37.549241,우장산역,우장산동
16214,126.8361293,37.54980277,우장산역,발산1동
16215,126.8367015,37.55312049,명덕고등학교.웰튼병원,우장산동
16216,126.8363717,37.55329124,명덕고등학교.웰튼병원,발산1동
16217,126.8376255,37.5560386,발산역.우장산힐스테이트,우장산동
16218,126.8374836,37.55676559,발산역.우장산힐스테이트,발산1동
16219,126.838558,37.56009,발산역2번출구,가양1동
16220,126.8389703,37.56017015,발산역3번출구,등촌3동
16221,126.839465,37.562868,서울호서전문학교.등촌주공3단지아파트,등촌3동
16222,126.839755,37.562662,서울호서전문학교.등촌주공3단지아파트,등촌3동
16223,126.8404735,37.56489336,서울강서우체국,등촌3동
16224,126.8400989,37.5648862,서울강서우체국,가양1동
16225,126.8415698,37.56897914,양천향교역.휴먼빌아파트,가양1동
16226,126.8414495,37.57020806,양천향교입구,가양1동
16227,126.8432785,37.57039253,가양한강타운아파트,가양1동
16228,126.8438103,37.57050587,가양한강타운아파트,가양1동
16229,126.8464071,37.56952799,가양2단지성지아파트.동양고등학교,가양1동
16230,126.8476423,37.56948093,가양2단지성지아파트.동양고등학교,가양1동
16231,126.8487305,37.56877857,한보구암마을아파트,가양1동
16232,126.8496503,37.56848329,가양동천주교영등포공업고등학교,가양2동
16233,126.8511694,37.56681099,서울서진학교.우체국앞.허준박물관,가양2동
16234,126.8517606,37.56669819,탑산초등학교 허준박물관,가양2동
16235,126.8531103,37.56533563,가양도시개발4단지아파트,가양2동
16236,126.8532162,37.56558806,대림경동아파트,가양2동
16237,126.85513,37.564242,가양도시개발5단지아파트,가양2동
16238,126.8556381,37.56417994,가양2동강변아파트,가양2동
16239,126.8579044,37.56294639,가양3동도시개발6단지아파트,가양3동
16240,126.85982,37.561717,가양초등학교,가양3동
16241,126.859407,37.56096582,강서구청별관,가양3동
16242,126.860753,37.56141252,가양3동주민센터,가양3동
16243,126.863307,37.559812,가양3동도시개발9단지아파트,가양3동
16244,126.8638406,37.55971846,가양도시개발9단지.세현고등학교,가양3동
16245,126.8776266,37.54912227,염창동아3차아파트.나이아가라호텔,염창동
16246,126.8776893,37.54881687,염창동리버파크호텔,염창동
16247,126.873324,37.55023509,염창동새마을금고,염창동
16248,126.8727945,37.55015703,염창동새마을금고,염창동
16249,126.8697189,37.55304709,염창동한마음.관음삼성아파트,염창동
16250,126.8693581,37.55292955,염창동관음삼성아파트,염창동
16251,126.8654574,37.55506527,태영.삼성한사랑아파트,등촌1동
16252,126.865485,37.55544736,금호.한솔아파트,염창동
16253,126.8637439,37.55624283,블루나인비지니스센터.이마트,등촌1동
16254,126.8639189,37.55650706,블루나인비지니스센터.이마트,염창동
16255,126.8617662,37.55766336,이마트.강서소방서,가양3동
16256,126.8617195,37.55723078,강서소방서.이마트.증미역,등촌1동
16257,126.8563498,37.56021961,가양역.현대프린스텔,등촌1동
16258,126.856602,37.560458,가양역.현대아파트,가양3동
16259,126.8539737,37.56145209,가양역.우성아파트,등촌3동
16260,126.8533962,37.56216594,가양역.우성아파트,가양2동
16261,126.8508002,37.5634891,SBS공개홀,가양2동
16262,126.849849,37.5636591,SBS공개홀,등촌3동
16263,126.8526273,37.56408453,가양4.5단지상가앞,가양2동
16264,126.8501204,37.56605635,서울서진학교,가양2동
16265,126.848394,37.56440514,등촌동대림아파트,등촌3동
16266,126.847871,37.56501451,강서한강자이아파트,가양1동
16267,126.8449188,37.56660831,가양동CJ주식회사,가양1동
16268,126.8437511,37.56690232,가양동CJ주식회사,가양1동
16269,126.8403425,37.56906849,양천초등학교.겸재정선미술관,가양1동
16270,126.840036,37.56889597,양천초등학교.겸재정선미술관,가양1동
16271,126.838163,37.56990948,겸재정선미술관,가양1동
16272,126.8375147,37.57058838,겸재정선미술관,가양1동
16273,126.8300505,37.57253904,마곡실내배드민턴장,가양1동
16274,126.8319559,37.57267477,마곡실내배드민턴장,가양1동
16275,126.8279105,37.57299173,서남물재생센터,가양1동
16276,126.8272996,37.57268694,서남물재생센터,가양1동
16277,126.82332,37.57326315,서남환경공원,가양1동
16278,126.822627,37.57308,서남환경공원,가양1동
16279,126.818567,37.573207,방화동도시개발2단지아파트,방화1동
16280,126.818945,37.57346468,방화동도시개발2단지아파트,방화3동
16281,126.8180793,37.57285781,공항버스종점입구,방화1동
16282,126.8530559,37.56191051,가양역10번출구,등촌3동
16283,126.8138644,37.57332251,방화동동부센트레빌아파트,방화1동
16284,126.814217,37.573528,방화동동부센트레빌아파트,방화1동
16285,126.8104924,37.57308557,방화사거리,방화2동
16286,126.809892,37.573287,방화사거리,방화1동
16287,126.8060834,37.57242872,개화산역,방화2동
16288,126.8052934,37.57277106,개화산역,방화1동
16291,126.8456832,37.55989166,등촌3동천주교회,등촌3동
16292,126.8460351,37.5599579,등촌3동천주교회,등촌3동
16293,126.84519,37.561745,등촌3동5단지아파트.등촌고등학교,등촌3동
16294,126.8455808,37.56177301,등촌3동5단지아파트.등촌고등학교,등촌3동
16295,126.8430372,37.56240403,등촌3동주공4단지아파트,등촌3동
16296,126.8431058,37.56260957,등촌동부영아파트,등촌3동
16297,126.8474153,37.56196643,등촌3동주공10단지아파트,등촌3동
16298,126.8472923,37.5623231,등촌3동대림아파트,등촌3동
16301,126.8178706,37.55674444,마곡13단지힐스테이트아파트,공항동
16302,126.8198769,37.55481797,다솔마을.강서농수산물도매시장,발산1동
16303,126.8165204,37.57561724,강서공업고등학교,방화3동
16304,126.8169914,37.57513138,방화동도시개발1.2단지아파트,방화3동
16305,126.8168323,37.56951691,서울항공비즈니스고등학교,방화1동
16306,126.8163793,37.56896517,서울항공비즈니스고등학교,방화1동
16307,126.816305,37.563222,공항중학교,공항동
16308,126.81676,37.562458,공항중학교,공항동
16309,126.8407117,37.56685861,양천향교역,가양1동
16310,126.8206583,37.57187326,방화2차우림아파트,방화1동
16313,126.8132957,37.57845783,방화3동주민센터,방화3동
16314,126.8132881,37.57696831,방화동삼익아파트,방화3동
16315,126.818273,37.552122,수협직판장,발산1동
16316,126.821887,37.554348,청과2시장,발산1동
16317,126.8165392,37.5550003,다솔마을,공항동
16319,126.8185004,37.55653699,반야정사입구,공항동
16321,126.8126738,37.56998479,방신전통시장,방화2동
16322,126.8125292,37.56669108,방화주유소,방화2동
16325,126.8399047,37.55939918,발산역원당사거리,등촌3동
16326,126.8098045,37.56043494,제과점앞,공항동
16327,126.811612,37.557387,공항동천주교회,공항동
16328,126.8390315,37.53012593,강서한방병원,화곡1동
16329,126.8393407,37.52999299,강서한방병원,화곡1동
16330,126.8500719,37.56636461,강서한강자이아파트,가양2동
16332,126.859807,37.561162,강서구청별관,가양3동
16333,126.8408631,37.56751121,양천향교역,가양1동
16334,126.8432439,37.56584647,등촌주공1.2단지,등촌3동
16335,126.8425802,37.56383165,등촌2단지부영아파트,등촌3동
16336,126.8417743,37.56167516,등촌3.4단지,등촌3동
16337,126.8391468,37.55967839,발산역3번출구,등촌3동
16339,126.8416542,37.5478333,우장산동주민센터,우장산동
16340,126.8443895,37.54678446,문성유치원,우장산동
16341,126.8459178,37.54712167,제일성심병원,화곡본동
16342,126.861713,37.560708,가양7단지상가,가양3동
16343,126.852638,37.56432942,가양4.5단지,가양2동
16344,126.850602,37.561643,등촌주공9단지,등촌3동
16345,126.850182,37.559912,강서구민올림픽체육센터,등촌3동
16346,126.848477,37.560553,등촌주공6단지,등촌3동
16347,126.846958,37.561208,등현초등학교,등촌3동
16348,126.8619155,37.56077051,가양7단지상가앞,가양3동
16350,126.8434782,37.54743835,우장산휴먼빌아파트,우장산동
16351,126.8415089,37.54802414,우장산동주민센터,우장산동
16352,126.8369118,37.54801338,양서1단지우장산아이파크이편한세상,우장산동
16354,126.8420053,37.561616,등촌주공3.4단지,등촌3동
16355,126.843218,37.5641614,부영주공1단지,등촌3동
16356,126.842626,37.5663016,등촌주공1.2단지,등촌3동
16357,126.857925,37.5627,가양6.8단지,가양3동
16361,126.8451717,37.54667195,제일성심병원,우장산동
16364,126.8369631,37.54785305,강서힐스테이트아파트,우장산동
16365,126.846805,37.561053,미주아파트등현초등학교,등촌3동
16366,126.848447,37.560355,등촌주공6단지앞,등촌3동
16367,126.850322,37.559795,강서구민올림픽체육센터,등촌3동
16368,126.850932,37.561875,등촌9단지SBS공개홀,등촌3동
16369,126.852823,37.563943,가양4.5단지상가앞,가양2동
16371,126.8225815,37.57148509,방화삼성아파트,가양1동
16372,126.8213183,37.57094163,마곡푸르지오아파트,방화1동
16373,126.8117012,37.57159607,삼정그린코아아파트,방화2동
16374,126.812847,37.567943,강서농협,방화1동
16375,126.812767,37.568388,강서농협,방화2동
16376,126.805304,37.568165,서울방화초등학교,방화2동
16378,126.810557,37.55883,공항동주민센터,공항동
16379,126.8123522,37.55602997,천주교성당,공항동
16380,126.8182166,37.55499658,다솔마을,공항동
16381,126.8152596,37.55482349,송정중후문,공항동
16385,126.8278115,37.56505228,마곡나루역4번출구,가양1동
16386,126.8274943,37.5650504,마곡나루역5번출구,방화1동
16387,126.8284359,37.55936753,마곡역교차로,가양1동
16388,126.8345592,37.55874457,이대서울병원,가양1동
16389,126.8041242,37.55883343,김포공항국내선,공항동
16390,126.8047524,37.55838032,김포공항국내선,공항동
16391,126.801112,37.56531,김포공항국제선,방화2동
16392,126.8010313,37.56499803,김포공항국제선,방화2동
