구,상태,인허가일자,폐업일자,면적,경도,위도,읍면동
중구,폐업,2002-08-14,2019-05-29,64.38,126.99581266438723,37.56255382832292,충무로5가
중구,폐업,1976-12-22,2021-08-23,112.83,126.9953937775423,37.56821382736197,주교동
중구,폐업,2002-01-17,2019-12-17,67.52,126.9715311740391,37.558442535383094,남대문로5가
중구,폐업,2000-11-20,2021-04-16,89.91,126.97572022986499,37.563660144776954,북창동
중구,폐업,2000-04-26,2020-12-10,82.2,126.97480647820974,37.56126736256849,북창동
중구,폐업,2006-01-09,2020-10-14,65.2,126.99071150506316,37.562715202761886,충무로4가
중구,폐업,2006-01-31,2020-10-13,55.4,126.99071150506316,37.562715202761886,충무로4가
중구,폐업,2018-12-04,2024-03-06,51.2,126.98155540796063,37.564545177519506,명동1가
중구,폐업,2001-03-07,2021-02-03,118.77,126.97480647820974,37.56126736256849,북창동
중구,폐업,2000-10-20,2022-06-24,47.15,126.9748478602733,37.562779428271504,북창동
중구,폐업,1985-08-27,2025-03-05,132.07,126.9870077650536,37.562211469918594,충무로2가
중구,폐업,2010-08-16,2025-04-25,92.89,126.97066432086784,37.557738237054764,남대문로5가
중구,폐업,2000-06-01,2025-04-10,269.36,126.97942099198448,37.56776541027675,다동
중구,폐업,2001-02-21,2025-05-13,122.69,126.97490105456619,37.56367220481482,북창동
용산구,폐업,2014-09-11,2024-03-04,138.33,126.99040467131172,37.52896341541847,이태원동
용산구,폐업,1970-04-20,2021-08-27,207.45,126.9928864835607,37.53388623121038,이태원동
용산구,폐업,1978-06-02,2022-09-01,183.04,126.99848066123002,37.53749608096147,한남동
용산구,폐업,1999-12-07,2021-08-31,68.92,126.95844560091194,37.5354938855555,원효로2가
용산구,폐업,1978-12-01,2021-08-23,105.0,127.00736964316596,37.53476347895775,한남동
용산구,폐업,1980-09-12,2024-02-23,1230.92,126.98792160630164,37.53144096058422,이태원동
용산구,폐업,1981-12-22,2019-07-04,258.87,126.95939957667058,37.53525098027041,원효로2가
용산구,폐업,1978-05-23,2021-06-23,165.48,126.99741054062066,37.53625334479149,한남동
성동구,폐업,1985-05-07,2025-02-14,179.6,127.02876361301202,37.56368434161909,도선동
성동구,폐업,1979-07-03,2024-06-10,127.62,127.03445230617733,37.57092180203859,마장동
성동구,폐업,2012-12-24,2020-02-14,259.27,127.0329420804317,37.56445166569007,도선동
광진구,폐업,1978-08-03,2022-12-01,104.29,127.08118819933513,37.53613912374557,자양동
광진구,폐업,1979-09-22,2024-11-04,92.97,127.08183120392987,37.544407853832425,구의동
광진구,폐업,1980-04-08,2020-06-29,159.32,127.06544935693687,37.54853464301823,군자동
광진구,폐업,1980-09-17,2019-05-22,1871.0,127.10655586951972,37.54743178904645,광장동
광진구,폐업,1991-04-26,2023-12-19,33.5,127.08899742147709,37.534166770374654,구의동
광진구,폐업,1972-08-04,2024-09-11,75.33,127.06953185897684,37.54752071353783,화양동
광진구,폐업,1974-11-05,2021-05-11,114.1,127.07723028910239,37.55731381674003,중곡동
광진구,폐업,1975-11-26,2021-08-10,94.96,127.06421794741611,37.54723500910805,화양동
동대문구,폐업,2018-05-24,2023-01-19,206.15,127.06668343077735,37.56832863701198,장안동
동대문구,폐업,2018-07-13,2019-02-25,473.0,127.04042989637077,37.578597950409126,전농동
동대문구,폐업,1990-06-21,2023-07-10,506.12,127.06807809456289,37.57024874244289,장안동
동대문구,폐업,1985-01-08,2019-01-28,1210.05,127.06807809456289,37.57024874244289,장안동
동대문구,폐업,1987-03-29,2023-08-28,180.56,127.04941941918989,37.56762797771789,답십리동
동대문구,폐업,1988-02-08,2024-07-03,348.57,127.06714136682793,37.56906962833218,장안동
동대문구,폐업,2001-06-22,2023-08-21,55.8,127.0690040183647,37.57157035357236,장안동
동대문구,폐업,2001-06-22,2023-08-28,91.42,127.0674408298065,37.56953134537514,장안동
동대문구,폐업,2001-11-29,2020-04-13,73.44,127.04862864512236,37.56821881659438,답십리동
동대문구,폐업,2019-02-08,2020-05-15,1172.39,127.06412973149982,37.56177804582542,장안동
동대문구,폐업,2019-02-25,2021-04-26,124.12,127.04042989637077,37.578597950409126,전농동
동대문구,폐업,2019-10-16,2020-05-21,1175.63,127.06807809456289,37.57024874244289,장안동
동대문구,폐업,2016-05-13,2022-09-19,97.4,127.06843465123481,37.57064083989801,장안동
동대문구,폐업,2000-06-08,2021-11-08,1037.55,127.06125548830998,37.56199096230754,장안동
동대문구,폐업,2007-07-10,2023-03-15,632.89,127.06807809456289,37.57024874244289,장안동
동대문구,폐업,1969-05-02,2021-12-01,226.81,127.02156861756345,37.57640010818645,신설동
동대문구,폐업,1971-08-19,2022-04-04,84.87,127.05402220146695,37.577518371305196,전농동
동대문구,폐업,2011-07-22,2023-08-02,181.96,127.0674408298065,37.56953134537514,장안동
동대문구,폐업,2012-04-26,2020-06-15,281.46,127.06639351854415,37.56789147203233,장안동
동대문구,폐업,1977-05-13,2023-10-05,91.8,127.04490660847944,37.5706943568742,답십리동
동대문구,폐업,2009-01-06,2023-11-10,200.99,127.06677778103138,37.568487739939265,장안동
동대문구,폐업,2001-03-24,2024-10-22,88.99,127.05893992921975,37.60314566972488,이문동
동대문구,폐업,2001-04-30,2021-05-27,164.89,127.0515411620219,37.56604645075736,답십리동
동대문구,폐업,1999-03-17,2023-02-01,70.28,127.06803600708139,37.57160204770152,장안동
동대문구,폐업,2016-07-19,2021-09-02,226.81,127.02156861756345,37.57640010818645,신설동
중랑구,폐업,2000-11-28,2019-04-29,131.17,127.09315906983858,37.59863757661554,망우동
중랑구,폐업,1999-10-18,2020-05-28,1302.33,127.07463182031393,37.615417335242284,묵동
중랑구,폐업,1999-10-18,2021-02-22,160.84,127.09081986456772,37.59813739609308,망우동
중랑구,폐업,2003-08-12,2022-07-15,146.4,127.085948125113,37.596355706489085,상봉동
중랑구,폐업,1979-12-24,2022-04-12,106.29,127.08902418048967,37.589111669681145,면목동
중랑구,폐업,2002-01-11,2022-03-18,50.89,127.08412202340811,37.58105033626937,면목동
중랑구,폐업,2001-04-25,2019-05-29,326.81,127.08658844761557,37.59651035906662,상봉동
강북구,폐업,1984-07-30,2021-06-02,167.28,127.02085805032475,37.6335509379019,미아동
강북구,폐업,2001-08-14,2019-10-22,108.8,127.02108910469437,37.633958689016254,미아동
강북구,폐업,1972-09-15,2023-07-13,795.92,127.02418417977596,37.640223268591,수유동
강북구,폐업,2010-11-19,2023-05-23,405.52,127.02213517256449,37.637869477108445,수유동
강북구,폐업,2012-07-31,2019-06-27,90.42,127.01994785316289,37.63610059439994,수유동
강북구,폐업,1999-11-08,2020-10-30,113.36,127.021103058402,37.635060876419594,번동
강북구,폐업,1999-11-30,2019-10-22,87.19,127.02108910469437,37.633958689016254,미아동
강북구,폐업,2000-04-11,2023-06-19,78.45,127.02359933790459,37.63947851116328,수유동
강북구,폐업,2001-08-17,2022-08-09,90.6,127.01985445573585,37.6334769351096,수유동
강북구,폐업,2001-09-10,2021-04-30,97.01,127.01949359899037,37.63342455464021,수유동
강북구,폐업,2000-01-25,2020-10-26,129.57,127.02120414723268,37.63515756206968,번동
강북구,폐업,2001-05-07,2020-06-03,90.36,127.02371213825231,37.639543888605544,수유동
강북구,폐업,2001-06-16,2019-10-01,65.91,127.02018793074662,37.633902726273035,수유동
강북구,폐업,2003-04-30,2021-06-30,98.21,127.0212320726657,37.637487581458664,수유동
강북구,폐업,2003-02-18,2021-08-10,111.63,127.0189722426224,37.63381788368376,수유동
강북구,폐업,2002-12-24,2020-03-10,2526.2,127.02815258791912,37.61031440127515,미아동
강북구,폐업,2005-06-09,2021-03-03,105.64,127.0210720938984,37.633548851478594,미아동
강북구,폐업,1991-03-05,2020-08-27,442.27,127.02788122074897,37.61184088194992,미아동
강북구,폐업,1993-12-22,2022-01-21,174.84,127.02085805032475,37.6335509379019,미아동
강북구,폐업,1977-08-18,2019-10-22,99.68,127.02108910469437,37.633958689016254,미아동
도봉구,폐업,2000-07-06,2021-02-09,162.1,127.03289545127316,37.65108532925228,쌍문동
도봉구,폐업,2000-12-20,2021-04-15,121.69,127.04754122645413,37.65354562518012,창동
도봉구,폐업,2002-10-10,2023-10-13,562.07,127.04891576009045,37.65387364834692,창동
도봉구,폐업,2010-08-19,2023-09-23,236.34,127.04717909143741,37.65313047598351,창동
노원구,폐업,2002-03-26,2019-12-12,328.18,127.05979840835874,37.654440828727964,상계동
노원구,폐업,2008-11-17,2019-12-05,453.79,127.05564220016058,37.65416214199453,상계동
은평구,폐업,2007-01-15,2020-07-06,281.3,126.91748512179825,37.61931112713929,갈현동
은평구,폐업,2017-01-24,2020-08-10,97.52,126.9265187732525,37.610243355527714,대조동
은평구,폐업,2018-03-13,2023-05-17,163.3,126.91694163691812,37.62038023030807,갈현동
은평구,폐업,2018-04-26,2023-04-24,136.22,126.92611046952665,37.61094790186604,대조동
은평구,폐업,2013-08-26,2024-04-15,73.34,126.91363297033777,37.58983205845575,응암동
은평구,폐업,1985-08-29,2022-06-24,133.01,126.9178187495416,37.59989708233858,응암동
은평구,폐업,2000-03-11,2020-10-30,189.37,126.91553911709373,37.599853936948094,응암동
은평구,폐업,2000-09-29,2022-06-10,77.4,126.91646332941959,37.61853516766327,갈현동
서대문구,폐업,1983-08-31,2020-08-21,189.4,126.93959133468316,37.55762606553552,대현동
서대문구,폐업,1999-10-22,2023-12-29,189.5,126.93481001163894,37.55699711656084,창천동
서대문구,폐업,2002-01-24,2021-11-03,133.77,126.93484677178421,37.55689489580577,창천동
마포구,폐업,1999-04-19,2020-11-05,66.42,126.94305660419839,37.54076794364833,도화동
마포구,폐업,1999-07-05,2020-03-26,32.91,126.94305660419839,37.54076794364833,도화동
마포구,폐업,1999-07-09,2019-12-05,43.12,126.94305660419839,37.54076794364833,도화동
마포구,폐업,1993-12-29,2021-03-09,1175.88,126.9454700624882,37.540694713412066,도화동
마포구,폐업,1994-03-03,2021-06-03,79.87,126.9321765788254,37.55483641824627,노고산동
마포구,폐업,1994-03-28,2023-07-26,100.87,126.9320191742036,37.554527212149566,노고산동
마포구,폐업,1994-09-08,2022-09-30,385.65,126.93368908462756,37.55447539725032,노고산동
마포구,폐업,2000-06-01,2021-09-17,117.57,126.91722216940944,37.553393412191916,서교동
마포구,폐업,1999-09-28,2024-10-14,57.95,126.9440118817238,37.540843443588315,도화동
마포구,폐업,2000-03-06,2020-04-07,126.5,126.91768458727618,37.55408906824304,서교동
