구,동,인구,면적,인구밀도,연도
도봉구,쌍문1동,22364,1.24,18035,2019
도봉구,쌍문2동,20025,0.54,37083,2019
도봉구,쌍문3동,17262,0.50,34524,2019
도봉구,쌍문4동,19811,0.52,38098,2019
도봉구,방학1동,30056,0.69,43559,2019
도봉구,방학2동,21140,0.74,28568,2019
도봉구,방학3동,28782,2.64,10902,2019
도봉구,창1동,26271,0.88,29853,2019
도봉구,창2동,30498,1.07,28503,2019
도봉구,창3동,14777,0.67,22055,2019
도봉구,창4동,27873,0.96,29034,2019
도봉구,창5동,25802,0.70,36860,2019
도봉구,도봉1동,22293,8.72,2557,2019
도봉구,도봉2동,28677,0.83,34551,2019
노원구,월계1동,23883,1.16,20589,2019
노원구,월계2동,27289,1.94,14066,2019
노원구,월계3동,31593,1.17,27003,2019
노원구,공릉2동,41071,6.82,6022,2019
노원구,하계1동,29305,1.55,18906,2019
노원구,하계2동,23318,0.51,45722,2019
노원구,중계본동,25875,1.97,13135,2019
노원구,중계1동,28061,0.63,44541,2019
노원구,중계4동,21324,1.70,12544,2019
노원구,상계1동,40121,5.62,7139,2019
노원구,상계2동,21220,0.61,34787,2019
노원구,상계5동,25483,0.44,57916,2019
노원구,상계8동,23953,0.67,35751,2019
노원구,상계9동,21919,0.81,27060,2019
노원구,상계10동,16619,0.80,20774,2019
노원구,상계3.4동,25818,5.62,4594,2019
노원구,상계6.7동,34648,1.11,31214,2019
노원구,중계2.3동,36763,0.90,40848,2019
노원구,공릉1동,39040,1.41,27688,2019
은평구,녹번동,38411,1.79,21459,2019
은평구,불광1동,40917,3.13,13073,2019
은평구,갈현1동,24536,0.97,25295,2019
은평구,갈현2동,30150,0.96,31406,2019
은평구,구산동,33804,1.38,24496,2019
은평구,대조동,27910,0.85,32835,2019
은평구,응암1동,25654,1.20,21378,2019
은평구,응암2동,25466,0.78,32649,2019
은평구,신사1동,28570,0.84,34012,2019
은평구,신사2동,21875,1.00,21875,2019
은평구,증산동,16172,0.81,19965,2019
은평구,수색동,8952,1.29,6940,2019
은평구,진관동,58006,11.53,5031,2019
은평구,불광2동,29552,1.38,21414,2019
은평구,응암3동,26081,0.63,41398,2019
은평구,역촌동,48490,1.16,41802,2019
서대문구,천연동,18704,0.97,19282,2019
서대문구,홍제1동,24997,1.23,20323,2019
서대문구,홍제3동,16420,0.81,20272,2019
서대문구,홍제2동,14570,1.05,13876,2019
서대문구,홍은1동,22902,1.58,14495,2019
서대문구,홍은2동,28394,2.06,13783,2019
서대문구,남가좌1동,16918,0.51,33173,2019
서대문구,남가좌2동,25947,0.77,33697,2019
서대문구,북가좌1동,19160,0.55,34836,2019
서대문구,북가좌2동,33810,0.84,40250,2019
서대문구,충현동,18113,1.12,16172,2019
서대문구,북아현동,17525,0.46,38098,2019
서대문구,신촌동,24372,2.63,9267,2019
서대문구,연희동,41339,3.05,13554,2019
마포구,용강동,22441,0.84,26715,2019
마포구,대흥동,13575,0.88,15426,2019
마포구,염리동,13486,0.43,31363,2019
마포구,신수동,23877,0.78,30612,2019
마포구,서교동,25997,1.65,15756,2019
마포구,합정동,19153,1.72,11135,2019
마포구,망원1동,21856,1.13,19342,2019
마포구,망원2동,19386,0.67,28934,2019
마포구,연남동,16953,0.64,26489,2019
마포구,성산1동,20164,0.80,25205,2019
마포구,성산2동,41531,2.07,20063,2019
마포구,상암동,32882,8.40,3915,2019
마포구,도화동,22594,0.62,36442,2019
마포구,서강동,26163,1.45,18043,2019
마포구,공덕동,40509,1.01,40108,2019
마포구,아현동,25358,0.76,33366,2019
양천구,목1동,32173,1.41,22818,2019
양천구,목2동,31477,1.03,30560,2019
양천구,목3동,23095,0.53,43575,2019
양천구,목4동,26909,0.57,47209,2019
양천구,신월1동,21773,0.65,33497,2019
양천구,신월2동,22126,0.61,36272,2019
양천구,신월3동,16719,0.87,19217,2019
양천구,신월4동,19026,0.52,36588,2019
양천구,신월5동,15570,0.69,22565,2019
양천구,신월6동,6615,0.41,16134,2019
양천구,신월7동,21602,1.19,18153,2019
양천구,신정1동,21627,0.70,30896,2019
양천구,신정2동,20685,0.52,39779,2019
양천구,신정3동,48151,2.72,17703,2019
양천구,신정6동,25304,0.96,26358,2019
양천구,신정7동,30904,1.21,25540,2019
양천구,목5동,42948,1.81,23728,2019
양천구,신정4동,35581,1.01,35229,2019
강서구,염창동,42579,1.74,24471,2019
강서구,등촌1동,23717,0.59,40198,2019
강서구,등촌2동,21868,0.92,23770,2019
강서구,등촌3동,32506,0.79,41147,2019
강서구,화곡본동,35918,1.11,32359,2019
강서구,화곡2동,19487,0.47,41462,2019
강서구,화곡3동,22710,0.51,44529,2019
강서구,화곡4동,22044,0.82,26883,2019
강서구,화곡6동,25118,1.12,22427,2019
강서구,화곡8동,26509,0.53,50017,2019
강서구,가양1동,34154,4.70,7267,2019
강서구,가양2동,15140,1.00,15140,2019
강서구,가양3동,16199,0.99,16363,2019
강서구,발산1동,38507,2.96,13009,2019
강서구,공항동,28261,10.87,2600,2019
강서구,방화1동,45668,1.04,43912,2019
강서구,방화2동,24051,6.41,3752,2019
강서구,방화3동,24467,2.38,10280,2019
강서구,화곡1동,54562,1.12,48716,2019
강서구,우장산동,44808,1.36,32947,2019
구로구,신도림동,37188,1.47,25298,2019
구로구,구로1동,22097,1.02,21664,2019
구로구,구로3동,26290,1.02,25775,2019
구로구,구로4동,26219,0.46,56998,2019
구로구,구로5동,33426,1.03,32452,2019
구로구,고척1동,24182,1.16,20847,2019
구로구,고척2동,28950,1.02,28382,2019
구로구,개봉2동,33036,0.80,41295,2019
구로구,개봉3동,22005,0.81,27167,2019
구로구,오류1동,23295,0.59,39483,2019
구로구,수궁동,24890,2.67,9322,2019
구로구,가리봉동,15250,0.40,38125,2019
구로구,구로2동,35208,1.76,20005,2019
구로구,개봉1동,33835,1.31,25828,2019
구로구,오류2동,53500,4.60,11630,2019
구로구,항동,-,-,-,2019
금천구,가산동,24455,2.52,9704,2019
금천구,독산1동,43840,2.09,20976,2019
금천구,독산2동,21405,0.60,35675,2019
금천구,독산3동,29916,0.92,32517,2019
금천구,독산4동,18227,0.59,30893,2019
금천구,시흥1동,36706,1.71,21465,2019
금천구,시흥2동,22659,1.26,17983,2019
금천구,시흥3동,11524,1.07,10770,2019
금천구,시흥4동,22216,0.87,25536,2019
금천구,시흥5동,20872,1.39,15016,2019
영등포구,여의동,34598,8.40,4119,2019
영등포구,당산1동,21524,0.75,28699,2019
영등포구,당산2동,36324,1.55,23435,2019
영등포구,양평1동,18263,0.88,20753,2019
영등포구,양평2동,22802,3.00,7601,2019
영등포구,신길1동,19750,0.66,29924,2019
영등포구,신길3동,18727,0.52,36013,2019
영등포구,신길4동,9985,0.35,28529,2019
영등포구,신길5동,10670,0.47,22702,2019
영등포구,신길6동,19434,0.68,28579,2019
영등포구,신길7동,17075,0.64,26680,2019
영등포구,대림1동,16332,0.49,33331,2019
영등포구,대림2동,21370,0.55,38855,2019
영등포구,대림3동,28638,0.95,30145,2019
영등포구,영등포본동,24813,1.02,24326,2019
영등포구,영등포동,27166,1.26,21560,2019
영등포구,도림동,21552,0.89,24216,2019
영등포구,문래동,31963,1.49,21452,2019
동작구,노량진2동,13789,0.64,21545,2019
동작구,상도1동,48153,1.51,31889,2019
동작구,상도2동,29270,0.98,29867,2019
동작구,상도3동,26041,0.60,43402,2019
동작구,상도4동,29893,0.75,39857,2019
동작구,사당1동,24026,0.79,30413,2019
동작구,사당3동,26034,0.92,28298,2019
동작구,사당4동,14921,0.38,39266,2019
동작구,사당5동,12886,0.57,22607,2019
동작구,대방동,40177,1.55,25921,2019
동작구,신대방1동,26599,0.62,42902,2019
동작구,신대방2동,20719,1.03,20116,2019
동작구,흑석동,35551,1.68,21161,2019
동작구,노량진1동,32563,1.58,20609,2019
동작구,사당2동,28290,2.75,10287,2019
관악구,보라매동,26496,0.76,34863,2019
관악구,청림동,16286,0.30,54287,2019
관악구,행운동,30061,0.72,41751,2019
관악구,낙성대동,17623,2.27,7763,2019
관악구,중앙동,15895,0.39,40756,2019
관악구,인헌동,27088,1.08,25081,2019
관악구,남현동,18980,3.27,5804,2019
관악구,서원동,24068,0.65,37028,2019
관악구,신원동,19742,0.55,35895,2019
관악구,서림동,24339,0.99,24585,2019
관악구,신사동,25960,0.64,40563,2019
관악구,신림동,22525,0.54,41713,2019
관악구,난향동,16394,0.80,20493,2019
관악구,조원동,19579,0.67,29222,2019
관악구,대학동,24457,8.30,2947,2019
관악구,은천동,35337,0.78,45304,2019
관악구,성현동,31175,0.68,45846,2019
관악구,청룡동,34440,1.18,29186,2019
관악구,난곡동,28912,0.96,30117,2019
관악구,삼성동,25226,2.66,9483,2019
관악구,미성동,32751,1.38,23733,2019
서초구,서초1동,21579,1.42,15196,2019
서초구,서초2동,18837,1.24,15191,2019
서초구,서초3동,30951,2.93,10563,2019
서초구,서초4동,31988,0.88,36350,2019
서초구,잠원동,35131,1.76,19961,2019
서초구,반포본동,12190,1.01,12069,2019
