구,동,인구,면적,인구밀도,연도
서대문구,북가좌1동,18557,0.55,33740,2020
서대문구,북가좌2동,32947,0.84,39223,2020
서대문구,충현동,21229,1.12,18954,2020
서대문구,북아현동,16956,0.46,36861,2020
서대문구,신촌동,23051,2.63,8765,2020
서대문구,연희동,39105,3.05,12821,2020
마포구,용강동,22257,0.84,26496,2020
마포구,대흥동,15863,0.87,18233,2020
마포구,염리동,12864,0.44,29236,2020
마포구,신수동,23606,0.78,30264,2020
마포구,서교동,26981,1.65,16352,2020
마포구,합정동,18576,1.72,10800,2020
마포구,망원1동,21113,1.13,18684,2020
마포구,망원2동,19216,0.67,28681,2020
마포구,연남동,16682,0.64,26066,2020
마포구,성산1동,19679,0.80,24599,2020
마포구,성산2동,40669,2.07,19647,2020
마포구,상암동,31997,8.40,3809,2020
마포구,도화동,21998,0.62,35481,2020
마포구,서강동,25386,1.45,17508,2020
마포구,공덕동,38750,1.01,38366,2020
마포구,아현동,26221,0.76,34501,2020
양천구,목1동,31727,1.41,22501,2020
양천구,목2동,30705,1.03,29811,2020
양천구,목3동,22643,0.53,42723,2020
양천구,목4동,26190,0.57,45947,2020
양천구,신월1동,21246,0.65,32686,2020
양천구,신월2동,21520,0.61,35279,2020
양천구,신월3동,15965,0.87,18351,2020
양천구,신월4동,18487,0.52,35552,2020
양천구,신월5동,15189,0.69,22013,2020
양천구,신월6동,13798,0.41,33654,2020
양천구,신월7동,20651,1.19,17354,2020
양천구,신정1동,21074,0.70,30106,2020
양천구,신정2동,20207,0.52,38860,2020
양천구,신정3동,46787,2.72,17201,2020
양천구,신정6동,25038,0.96,26081,2020
양천구,신정7동,30075,1.21,24855,2020
양천구,목5동,42288,1.81,23364,2020
양천구,신정4동,34191,1.01,33852,2020
강서구,염창동,42017,1.74,24148,2020
강서구,등촌1동,24338,0.64,38028,2020
강서구,등촌2동,21216,0.92,23061,2020
강서구,등촌3동,31660,0.79,40076,2020
강서구,화곡본동,34981,0.98,35695,2020
강서구,화곡2동,18727,0.45,41616,2020
강서구,화곡3동,21938,0.53,41392,2020
강서구,화곡4동,21413,0.82,26113,2020
강서구,화곡6동,25133,1.11,22642,2020
강서구,화곡8동,25674,0.53,48442,2020
강서구,가양1동,34540,4.70,7349,2020
강서구,가양2동,14588,1.00,14588,2020
강서구,가양3동,15583,0.50,31166,2020
강서구,발산1동,37530,2.94,12765,2020
강서구,공항동,27627,10.87,2542,2020
강서구,방화1동,44550,1.48,30101,2020
강서구,방화2동,23442,6.41,3657,2020
강서구,방화3동,23577,2.55,9246,2020
강서구,화곡1동,53380,1.12,47661,2020
강서구,우장산동,43987,1.36,32343,2020
구로구,신도림동,36494,1.47,24826,2020
구로구,구로1동,21632,1.02,21208,2020
구로구,구로3동,25722,1.02,25218,2020
구로구,구로4동,25031,0.46,54415,2020
구로구,구로5동,32339,1.03,31397,2020
구로구,고척1동,23547,1.16,20299,2020
구로구,고척2동,27853,1.02,27307,2020
구로구,개봉2동,32218,0.80,40273,2020
구로구,개봉3동,21284,0.81,26277,2020
구로구,오류1동,23360,0.59,39593,2020
구로구,수궁동,24297,2.67,9100,2020
구로구,가리봉동,14263,0.40,35658,2020
구로구,구로2동,33050,1.76,18778,2020
구로구,개봉1동,35239,1.31,26900,2020
구로구,오류2동,39755,3.20,12423,2020
구로구,항동,16404,1.40,11717,2020
금천구,가산동,25973,2.52,10307,2020
금천구,독산1동,44191,2.09,21144,2020
금천구,독산2동,20666,0.60,34443,2020
금천구,독산3동,28535,0.92,31016,2020
금천구,독산4동,17464,0.59,29600,2020
금천구,시흥1동,35781,1.71,20925,2020
금천구,시흥2동,22092,1.26,17533,2020
금천구,시흥3동,11285,1.07,10547,2020
금천구,시흥4동,21520,0.87,24736,2020
금천구,시흥5동,20328,1.39,14624,2020
영등포구,여의동,34463,8.40,4103,2020
영등포구,당산1동,21197,0.75,28263,2020
영등포구,당산2동,38011,1.55,24523,2020
영등포구,양평1동,17702,0.88,20116,2020
영등포구,양평2동,22603,3.00,7534,2020
영등포구,신길1동,19167,0.66,29041,2020
영등포구,신길3동,18086,0.52,34781,2020
영등포구,신길4동,12974,0.38,34142,2020
영등포구,신길5동,12496,0.47,26587,2020
영등포구,신길6동,19071,0.65,29340,2020
영등포구,신길7동,20494,0.64,32022,2020
영등포구,대림1동,17751,0.49,36227,2020
영등포구,대림2동,19776,0.55,35956,2020
영등포구,대림3동,26973,0.95,28393,2020
영등포구,영등포본동,23790,1.02,23324,2020
영등포구,영등포동,28749,1.26,22817,2020
영등포구,도림동,20665,0.89,23219,2020
영등포구,문래동,33399,1.49,22415,2020
동작구,노량진2동,13512,0.64,21113,2020
동작구,상도1동,46840,1.51,31020,2020
동작구,상도2동,28162,0.98,28737,2020
동작구,상도3동,25416,0.60,42360,2020
동작구,상도4동,29306,0.75,39075,2020
동작구,사당1동,23632,0.79,29914,2020
동작구,사당3동,25244,0.92,27439,2020
동작구,사당4동,14599,0.38,38418,2020
동작구,사당5동,14811,0.57,25984,2020
동작구,대방동,39172,1.55,25272,2020
동작구,신대방1동,25823,0.62,41650,2020
동작구,신대방2동,20466,1.03,19870,2020
동작구,흑석동,34544,1.68,20562,2020
동작구,노량진1동,32387,1.58,20498,2020
동작구,사당2동,27658,2.75,10057,2020
관악구,보라매동,25278,0.76,33261,2020
관악구,청림동,15711,0.30,52370,2020
관악구,행운동,29799,0.72,41388,2020
관악구,낙성대동,17579,2.27,7744,2020
관악구,중앙동,15758,0.39,40405,2020
관악구,인헌동,26500,1.08,24537,2020
관악구,남현동,18598,3.27,5687,2020
관악구,서원동,23565,0.65,36254,2020
관악구,신원동,19290,0.55,35073,2020
관악구,서림동,24410,0.99,24657,2020
관악구,신사동,25426,0.64,39728,2020
관악구,신림동,22667,0.54,41976,2020
관악구,난향동,15915,0.80,19894,2020
관악구,조원동,19232,0.67,28704,2020
관악구,대학동,24907,8.30,3001,2020
관악구,은천동,34595,0.78,44353,2020
관악구,성현동,30472,0.68,44812,2020
관악구,청룡동,36325,1.18,30784,2020
관악구,난곡동,28054,0.96,29223,2020
관악구,삼성동,23935,2.66,8998,2020
관악구,미성동,31787,1.38,23034,2020
서초구,서초1동,21187,1.42,14920,2020
서초구,서초2동,21731,1.24,17525,2020
서초구,서초3동,32307,2.93,11026,2020
서초구,서초4동,31718,0.88,36043,2020
서초구,잠원동,28532,1.76,16211,2020
서초구,반포본동,11991,1.01,11872,2020
서초구,반포1동,32630,1.00,32630,2020
서초구,반포2동,16240,1.35,12030,2020
서초구,반포3동,22412,1.28,17509,2020
서초구,반포4동,19977,1.43,13970,2020
서초구,방배본동,21293,0.67,31781,2020
서초구,방배1동,17381,0.70,24830,2020
서초구,방배2동,20404,1.93,10572,2020
서초구,방배3동,21441,2.40,8934,2020
서초구,방배4동,24036,0.98,24527,2020
서초구,양재1동,44890,5.76,7793,2020
서초구,양재2동,22709,7.58,2996,2020
서초구,내곡동,18146,12.68,1431,2020
강남구,신사동,16914,1.89,8949,2020
강남구,논현1동,23734,1.25,18987,2020
강남구,논현2동,21997,1.47,14964,2020
강남구,삼성1동,13600,1.94,7010,2020
강남구,삼성2동,30368,1.24,24490,2020
강남구,대치1동,24922,0.79,31547,2020
강남구,대치4동,20744,0.73,28416,2020
강남구,역삼1동,36771,2.35,15647,2020
강남구,역삼2동,37291,1.15,32427,2020
강남구,도곡1동,22227,1.02,21791,2020
강남구,도곡2동,34042,1.02,33375,2020
강남구,개포1동,6670,1.27,5252,2020
강남구,개포4동,22765,1.49,15279,2020
강남구,일원본동,23945,2.58,9281,2020
강남구,일원1동,15827,0.92,17203,2020
강남구,일원2동,17709,1.24,14281,2020
강남구,수서동,15299,1.43,10699,2020
강남구,세곡동,44475,6.36,6993,2020
강남구,압구정동,27440,2.53,10846,2020
강남구,청담동,27266,2.33,11702,2020
강남구,대치2동,37752,2.00,18876,2020
강남구,개포2동,22297,2.51,8883,2020
송파구,풍납1동,14585,0.77,18942,2020
송파구,풍납2동,25703,1.59,16165,2020
송파구,거여1동,13077,0.51,25641,2020
송파구,거여2동,19330,0.53,36472,2020
송파구,마천1동,19909,0.58,34326,2020
송파구,마천2동,19719,0.89,22156,2020
송파구,방이1동,16298,0.50,32596,2020
송파구,방이2동,26675,0.80,33344,2020
송파구,오륜동,18495,3.17,5834,2020
송파구,오금동,39668,1.65,24041,2020
송파구,송파1동,25190,0.79,31886,2020
송파구,송파2동,20800,0.53,39245,2020
송파구,석촌동,33166,0.95,34912,2020
송파구,삼전동,31839,0.95,33515,2020
송파구,가락본동,27368,1.13,24219,2020
송파구,가락1동,27876,1.34,20803,2020
송파구,가락2동,33204,0.96,34588,2020
송파구,문정1동,20868,0.56,37264,2020
송파구,문정2동,29547,2.20,13430,2020
송파구,잠실본동,29093,0.94,30950,2020
송파구,잠실4동,21798,1.56,13973,2020
송파구,잠실6동,17366,2.79,6224,2020
송파구,잠실7동,9903,0.60,16505,2020
송파구,잠실2동,36216,2.18,16613,2020
송파구,잠실3동,35497,1.49,23823,2020
송파구,장지동,30370,1.37,22168,2020
송파구,위례동,30366,2.55,11908,2020
강동구,강일동,35778,2.80,12778,2020
강동구,상일동,33345,2.65,12583,2020
강동구,명일1동,26377,0.61,43241,2020
강동구,명일2동,17555,0.97,18098,2020
강동구,고덕1동,26103,1.73,15088,2020
강동구,고덕2동,22568,2.01,11228,2020
강동구,암사2동,15507,1.18,13142,2020
강동구,암사3동,18420,2.51,7339,2020
강동구,천호1동,27745,0.71,39077,2020
강동구,천호3동,27085,0.79,34285,2020
강동구,성내1동,20353,0.58,35091,2020
강동구,성내2동,24948,0.67,37236,2020
강동구,성내3동,23692,0.71,33369,2020
강동구,둔촌1동,262,0.92,285,2020
강동구,둔촌2동,26413,0.98,26952,2020
강동구,암사1동,35728,1.02,35027,2020
강동구,천호2동,35251,1.57,22453,2020
강동구,길동,46868,2.17,21598,2020
